window_end_week,coef,t_stat
2024-11-24,-0.0018718880260012295,-0.9402556687143447
2024-12-01,-0.0021798334262952304,-1.0783551803822533
2024-12-08,-0.0014855476930694033,-0.7655923214392387
2024-12-15,-0.0019754880534582527,-1.0207267956077903
2024-12-22,-0.0023499523656016793,-1.2208222709337018
2024-12-29,-0.0026767984625321573,-1.4026288475784077
2025-01-05,-0.001942972193366324,-1.0197935259339879
2025-01-12,-0.0025989545637081007,-1.450449823168387
2025-01-19,-0.0026794696789696764,-1.4944366618184024
2025-01-26,-0.003372394617412932,-1.8627327179125395
2025-02-02,-0.0035839652916691317,-1.954077707005703
2025-02-09,-0.003850784782318738,-2.043641905539086
2025-02-16,-0.0040912192602953834,-2.151079806614881
2025-02-23,-0.004041700069870702,-2.124560912350863
2025-03-02,-0.004011023964288129,-2.108710271995364
2025-03-09,-0.003927048104141552,-2.067872738595492
2025-03-16,-0.003920137451425999,-2.0640345226243535
2025-03-23,-0.003914574385724781,-2.060743603229259
2025-03-30,-0.00367206319716036,-1.9586672391135829
2025-04-06,-0.0038571218564844093,-1.990294505860482
2025-04-13,-0.0032248725689836017,-1.81095875514209
2025-04-20,-0.003163332313119196,-1.7889096569009029
2025-04-27,-0.003133912018272791,-1.7726842609396305
2025-05-04,-0.0021579152853462287,-1.154496663795504
2025-05-11,-0.0018282696541742935,-0.9348006398315946
2025-05-18,-0.002214438986055989,-1.15920149582453
2025-05-25,-0.0017084941614715814,-0.8442276322622759
2025-06-01,-0.0020196045451811545,-0.9982914007713025
2025-06-08,-0.001848255674713683,-0.9092949964987159
2025-06-15,-0.0017234333909670037,-0.8452404425551961
2025-06-22,-0.0020389521257974763,-0.9792059326058613
2025-06-29,-0.0024706342495322007,-1.1282796481554043
2025-07-06,-0.0033101281556525944,-1.4408520580006106
2025-07-13,-0.0022465176222326,-0.878453101661337
2025-07-20,-0.0023221388253092086,-0.9107278876325073
2025-07-27,-0.0005412233331529986,-0.18640199164430982
2025-08-03,0.0006052318850247623,0.1929547398543392
2025-08-10,0.0011227218444562824,0.35584868756233307
2025-08-17,0.0016249672954630446,0.50447911957602
2025-08-24,0.00265062317480576,0.7933643027293233
2025-08-31,0.003073897847219653,0.9142664531605033
2025-09-07,0.004114819887538322,1.145683212529779
2025-09-14,0.004339739843490383,1.2019113253141769
2025-09-21,0.00472200212915232,1.300787486305888
2025-09-28,0.006310782531413868,1.6023041592858787
2025-10-05,0.007221763134715544,1.824772718378318
2025-10-12,0.008114032711536516,1.9945240578849293
2025-10-19,0.009253757644772096,2.217377640675044
2025-10-26,0.009072307793624734,2.1709445468121977
2025-11-02,0.009139715431225671,2.188331001424812
2025-11-09,0.008640727182073323,2.066158933665385
2025-11-16,0.008680639451865767,2.076438025976074
2025-11-23,0.009023503694183903,2.1589258620819933
2025-11-30,0.009540236082827412,2.304107281875412
2025-12-07,0.010159727972709467,2.4353621008804787
2025-12-14,0.011050020262780525,2.6512045229148997
2025-12-21,0.012866209614865703,2.933862310341895
2025-12-28,0.014496324127923784,3.187909055292988
2026-01-04,0.015768439277361088,3.3325385281822344
2026-01-11,0.01660960732045475,3.5034615164240206
2026-01-18,0.017019511024741432,3.6056610071167894
2026-01-25,0.017709053196012087,3.8047491621569685
2026-02-01,0.018620684103182357,4.047045117131806
2026-02-08,0.018850312320358033,4.133378653009365
2026-02-15,0.01905442459794952,4.203251533434943
2026-02-22,0.01952871769543768,4.325317561929747
2026-03-01,0.019791858012708833,4.402393528921893
2026-03-08,0.0206150769445956,4.600598073278754
2026-03-15,0.020864727494303622,4.67391930433217
2026-03-22,0.021086315559945244,4.7371895975289995
2026-03-29,0.021806311810171786,4.9344522249174725
2026-04-05,0.023321947369477826,5.489805084541323
2026-04-12,0.024530478383405163,5.7985927015472765
2026-04-19,0.025652134331479535,6.185291313944122
2026-04-26,0.026085999430103243,6.3474063573728685
2026-05-03,0.02651494742938363,6.397208934094208
2026-05-10,0.02609992708985259,6.2825614907727045
2026-05-17,0.026310168005525096,6.365472462446486
2026-05-24,0.02526704513142344,5.977057467217123
2026-05-31,0.025276662236727067,5.981526241450412
2026-06-07,0.024664172376480983,5.712674831134421
2026-06-14,0.024483460662953357,5.646695664272454
2026-06-21,0.02461456230873739,5.712691043157163
2026-06-28,0.025049002761911503,5.963545283291582
2026-07-05,0.025786540614448756,6.3824640751850685
2026-07-12,0.024691748720799964,6.123059057282296
2026-07-19,0.025021715151608892,6.22335407339224
