week,coef,n_obs,r2,model,horizon
2024-12-29,0.0034703090934766886,49,0.009911425637453952,Model1_attention_only,future_1w_excess_return
2025-01-05,0.006678454257967132,49,0.01702950629914446,Model1_attention_only,future_1w_excess_return
2025-01-12,0.010748738746447217,49,0.033629563261318385,Model1_attention_only,future_1w_excess_return
2025-01-19,-0.004331434174785568,49,0.008954407994717362,Model1_attention_only,future_1w_excess_return
2025-01-26,-0.010763005983816888,49,0.035639359187881636,Model1_attention_only,future_1w_excess_return
2025-02-02,0.00039574909488777264,49,4.492052855997741e-05,Model1_attention_only,future_1w_excess_return
2025-02-09,-0.014542618518095718,49,0.05355473715306258,Model1_attention_only,future_1w_excess_return
2025-02-16,-0.00039267795728587315,49,0.00015826864972834365,Model1_attention_only,future_1w_excess_return
2025-02-23,-0.005131061467902322,49,0.015098772706041985,Model1_attention_only,future_1w_excess_return
2025-03-02,-0.0033161855491191977,49,0.009725610638379734,Model1_attention_only,future_1w_excess_return
2025-03-09,0.0034961790662866544,49,0.01106268492552065,Model1_attention_only,future_1w_excess_return
2025-03-16,0.002435746691534395,49,0.006962554619522665,Model1_attention_only,future_1w_excess_return
2025-03-23,-0.006963338457642959,49,0.023112246764349864,Model1_attention_only,future_1w_excess_return
2025-03-30,0.0031728531056201825,49,0.012248594286715542,Model1_attention_only,future_1w_excess_return
2025-04-06,-0.02195928460990065,49,0.09985167626708902,Model1_attention_only,future_1w_excess_return
2025-04-13,0.0007241458208928533,49,0.0002817443122180574,Model1_attention_only,future_1w_excess_return
2025-04-20,-0.006942159685118262,48,0.06709092389905713,Model1_attention_only,future_1w_excess_return
2025-04-27,-0.005518504821363821,48,0.020215203294323247,Model1_attention_only,future_1w_excess_return
2025-05-04,0.0016239655078003324,48,0.0018195915024080689,Model1_attention_only,future_1w_excess_return
2025-05-11,0.005082754125456805,48,0.0031891865681560327,Model1_attention_only,future_1w_excess_return
2025-05-18,0.0002248484713021728,49,7.454456737432391e-05,Model1_attention_only,future_1w_excess_return
2025-05-25,0.011537190834507249,49,0.07968593906896337,Model1_attention_only,future_1w_excess_return
2025-06-01,-0.007676045789197015,49,0.016202743169089096,Model1_attention_only,future_1w_excess_return
2025-06-08,0.005069227712387946,49,0.019065299412036496,Model1_attention_only,future_1w_excess_return
2025-06-15,0.017990796508384716,49,0.1201869196152957,Model1_attention_only,future_1w_excess_return
2025-06-22,-0.005987056561646063,49,0.00945175557901412,Model1_attention_only,future_1w_excess_return
2025-06-29,-0.015780232894164827,49,0.1712045097496001,Model1_attention_only,future_1w_excess_return
2025-07-06,-0.015546100665990948,48,0.08896072889548312,Model1_attention_only,future_1w_excess_return
2025-07-13,-0.001479582319375989,48,0.00034590232492348605,Model1_attention_only,future_1w_excess_return
2025-07-20,-0.0034108961779443863,49,0.00841849522731175,Model1_attention_only,future_1w_excess_return
2025-07-27,0.016338864294951152,49,0.0899360296204047,Model1_attention_only,future_1w_excess_return
2025-08-03,0.02111653234387473,49,0.05930540151096131,Model1_attention_only,future_1w_excess_return
